Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Date,Time,Payment,rating
750-67-8428,A,Novaville,Member,Female,Health and beauty,74.69,7,2020-02-16,17:33,Ewallet,10
226-31-3081,C,Astral Bay,Normal,Female,Electronic accessories,15.28,7,2020-03-01,18:41,Cash,9
631-41-3108,A,Celestria,Normal,Male,Home and lifestyle,46.33,5,2020-10-31,18:16,Credit card,6
123-19-1176,A,Eldoria,Member,Male,Health and beauty,58.22,8,2020-09-05,13:34,Ewallet,10
373-73-7910,A,Celestria,Normal,Male,Sports and travel,86.31,1,2020-05-27,13:59,Ewallet,5
699-14-3026,C,Astral Bay,Normal,Male,Electronic accessories,85.39,3,2020-04-19,19:42,Ewallet,4
355-53-5943,A,Eldoria,Member,Female,Electronic accessories,68.84,6,2020-09-22,16:23,Ewallet,9
315-22-5665,C,Arcanburg,Normal,Female,Home and lifestyle,73.56,5,2020-04-23,11:29,Ewallet,7
665-32-9167,A,Eldoria,Member,Female,Health and beauty,36.26,6,2020-04-18,11:01,Credit card,9
692-92-5582,B,Quixoton,Member,Female,Food and beverages,54.84,3,2020-04-21,19:03,Credit card,9
351-62-0822,B,Chromewood,Member,Female,Fashion accessories,14.48,4,2020-07-16,17:24,Ewallet,8
529-56-3974,B,Serenora,Member,Male,Electronic accessories,25.51,3,2020-01-31,20:31,Cash,9
365-64-0515,A,Celestria,Normal,Female,Electronic accessories,46.95,6,2020-05-03,20:30,Ewallet,6
252-56-2699,A,Veridian Springs,Normal,Male,Food and beverages,43.19,7,2020-07-19,19:49,Cash,7
829-34-3910,A,Eldoria,Normal,Female,Health and beauty,71.38,4,2020-09-02,16:18,Cash,6
299-46-1805,B,Aetherhaven,Member,Female,Sports and travel,93.72,5,2020-12-04,13:30,Cash,8
656-95-9349,A,Celestria,Member,Female,Health and beauty,,7,2020-01-25,18:44,Credit card,8
765-26-6951,A,Novaville,Normal,Male,Sports and travel,72.61,4,2020-04-14,10:51,Credit card,6
329-62-1586,A,Celestria,Normal,Female,Food and beverages,54.67,3,2020-01-16,19:35,Credit card,8
319-50-3348,B,Zephyropolis,Normal,Female,Home and lifestyle,40.3,1,2020-07-07,10:02,Ewallet,4
300-71-4605,C,Arcanburg,Member,Male,Electronic accessories,86.04,8,2020-04-12,10:22,Ewallet,8
371-85-5789,B,Chromewood,Normal,Male,Health and beauty,87.98,1,2020-03-04,10:25,Ewallet,5
273-16-6619,B,Chromewood,Normal,Male,Home and lifestyle,33.2,1,2020-07-13,16:11,Credit card,4
636-48-8204,A,Eldoria,Normal,Male,Electronic accessories,34.56,8,2020-04-05,16:33,Ewallet,9
549-59-1358,A,Novaville,Member,Male,Sports and travel,88.63,3,2020-05-14,17:46,Ewallet,9
227-03-5010,A,Veridian Springs,Member,Female,Home and lifestyle,52.59,5,2020-07-02,14:20,Credit card,10
649-29-6775,B,Serenora,Normal,Female,Fashion accessories,33.52,1,2020-01-24,18:54,Cash,6
189-17-4241,A,Novaville,Normal,Female,Fashion accessories,87.67,1,2020-12-22,13:42,Credit card,7
145-94-9061,B,Serenora,Normal,Female,Food and beverages,88.36,4,2020-12-17,15:29,Cash,9
848-62-7243,A,Eldoria,Normal,Male,Health and beauty,24.89,3,2020-04-24,15:38,Cash,6
871-79-8483,B,Quixoton,Normal,Male,Fashion accessories,94.13,1,2020-09-10,16:55,Credit card,5
149-71-6266,B,Serenora,Member,Male,Sports and travel,78.07,5,2020-02-18,13:26,Cash,8
640-49-2076,B,Serenora,Normal,Male,Sports and travel,83.78,3,2020-04-04,15:34,Cash,5
595-11-5460,A,Eldoria,Normal,Male,Health and beauty,96.58,2,2020-09-06,17:31,Credit card,5
183-56-6882,C,Nebulora Junction,Member,Female,Food and beverages,99.42,7,2020-02-22,16:15,Ewallet,10
232-16-2483,C,Arcanburg,Member,Female,Sports and travel,68.12,5,2020-09-13,11:42,Ewallet,9
129-29-8530,A,Eldoria,Member,Male,Sports and travel,62.62,5,2020-09-02,17:58,Ewallet,9
272-65-1806,A,Eldoria,Normal,Female,Electronic accessories,60.88,2,2020-09-01,18:56,Ewallet,5
333-73-7901,C,Arcanburg,Normal,Female,Health and beauty,54.92,3,2020-12-29,10:30,Ewallet,7
777-82-7220,B,Zephyropolis,Member,Male,Home and lifestyle,30.12,4,2020-03-24,19:15,Cash,10
280-35-5823,B,Serenora,Member,Female,Home and lifestyle,86.72,2,2020-12-15,15:49,Ewallet,10
554-53-8700,C,Nebulora Junction,Member,Female,Home and lifestyle,56.11,2,2020-03-24,14:23,Cash,9
354-25-5821,B,Chromewood,Member,Female,Sports and travel,69.12,5,2020-04-02,11:33,Cash,9
